uno;kd_br;team;Player;idmatch
#559104166691013403;0,775881683731513;team_fifteen;savyultras90;#10204140121993059647
#17938413817842612566;1,26449831236576;team_twenty_two;savyultras90;#10204140121993059647
#11026264835465291028;1,16681985294118;team_sixteen;savyultras90;#10204140121993059647
#11435844216674176080;1,37740838685304;axis;savyultras90;#10204140121993059647
#7579918509823166403;0,533161953727506;team_seven;savyultras90;#10204140121993059647
#9799573280571804462;0,865840707964602;team_ten;savyultras90;#10204140121993059647
#790676458329607121;0,46788370520622;team_eighteen;savyultras90;#10204140121993059647
#7884929391828627139;0,36533236732476;team_thirty_two;savyultras90;#10204140121993059647
#15342809436866663448;0,579654510556622;axis;savyultras90;#10204140121993059647
#9563702346380061047;0,810402684563758;team_twenty_two;savyultras90;#10204140121993059647
#1159572718797698983;0,748179379072442;team_twenty_six;savyultras90;#10204140121993059647
#8382005060724340849;1,25102040816327;team_twenty_eight;savyultras90;#10204140121993059647
#15620425953295169103;1,22306192101414;team_twenty_three;savyultras90;#10204140121993059647
#18099578026004640015;0,647720715522216;team_thirty_two;savyultras90;#10204140121993059647
#11315864435870403474;0,178850248403123;team_twenty_seven;savyultras90;#10204140121993059647
#8767574186880160316;1,09549274255157;team_twenty_six;savyultras90;#10204140121993059647
#14462135426882929009;0,961538461538462;team_thirteen;savyultras90;#10204140121993059647
#256203551268664349;0,77521613832853;team_six;savyultras90;#10204140121993059647
#6653818025879093480;0,530323914541695;team_twenty_seven;savyultras90;#10204140121993059647
#18270999319510972282;0,638294396340467;team_three;savyultras90;#10204140121993059647
#9213219362913686992;0,458654708520179;team_nineteen;savyultras90;#10204140121993059647
#5432516346110511239;0,429718875502008;team_thirty_five;savyultras90;#10204140121993059647
#16369497454454947743;0,474910394265233;team_thirty_four;savyultras90;#10204140121993059647
#4788118168951107482;0,782696177062374;team_fourteen;savyultras90;#10204140121993059647
#8326482298137191585;0,794520547945205;team_fifteen;savyultras90;#10204140121993059647
#10330105667746059426;0,33096926713948;team_twenty_six;savyultras90;#10204140121993059647
#3691728;4,9242495863862;allies;savyultras90;#10204140121993059647
#17279007947880433125;0,60077519379845;team_ten;savyultras90;#10204140121993059647
#13725332597440173946;0,958989031950405;team_nine;savyultras90;#10204140121993059647
#15734261879943300873;1,11745169082126;team_twenty_nine;savyultras90;#10204140121993059647
#24536290;0,9079950799508;team_eleven;savyultras90;#10204140121993059647
#8322625226738481811;0,713404374649467;team_three;savyultras90;#10204140121993059647
#5563378417239897529;0,543297746144721;team_five;savyultras90;#10204140121993059647
#2432199909332301901;0,873922413793103;team_twenty_eight;savyultras90;#10204140121993059647
#12758002810704232796;0,914862336273724;team_five;savyultras90;#10204140121993059647
#10850856597541502888;1,49194312796209;team_twenty_five;savyultras90;#10204140121993059647
#15581364353198121071;1,62354551676934;team_twenty;savyultras90;#10204140121993059647
#9028080552030355018;1,2209441648694;team_twenty_seven;savyultras90;#10204140121993059647
#17997344;1,21504772599663;team_four;savyultras90;#10204140121993059647
#1920497719828161501;1,02015186915888;team_thirty_three;savyultras90;#10204140121993059647
#2462234855778463264;0,606139534883721;team_thirty_five;savyultras90;#10204140121993059647
#7469770455841277649;0,437094155844156;team_eleven;savyultras90;#10204140121993059647
#2396202353056004706;0,92607223476298;team_three;savyultras90;#10204140121993059647
#8006792905077199332;0,752635449865163;team_thirty_two;savyultras90;#10204140121993059647
#6273547159929507351;0,754700480979449;team_sixteen;savyultras90;#10204140121993059647
#11374903413158278606;1,32338850174216;team_ten;savyultras90;#10204140121993059647
#4962333509297054269;1,17335115864528;team_fourteen;savyultras90;#10204140121993059647
#9482807335219288115;0,470994475138122;team_twenty_eight;savyultras90;#10204140121993059647
#198792026972836916;0,314338235294118;team_thirty_three;savyultras90;#10204140121993059647
#6796577539204239872;0,397777777777778;team_twenty_nine;savyultras90;#10204140121993059647
#11013791180071975289;0,985862785862786;team_twenty_four;savyultras90;#10204140121993059647
#7205934642633274330;0,553808353808354;team_seventeen;savyultras90;#10204140121993059647
#7871784203207309260;0,321836288559631;team_thirty_five;savyultras90;#10204140121993059647
#3727539207132643089;0,837809647979139;team_seven;savyultras90;#10204140121993059647
